Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,25.850000,25.850000,25.462500,25.747499,24.005451,16829200
2012-01-04,25.422501,25.615000,25.000000,25.287500,23.576582,16522000
2012-01-05,25.177500,25.552500,24.915001,25.477501,23.753725,12096400
2012-01-06,25.490000,25.555000,25.055000,25.177500,23.474026,13089200
2012-01-09,25.252501,25.295000,24.695000,24.975000,23.285221,18002400
2012-01-10,25.217501,25.237499,24.862499,24.950001,23.261917,18711600
2012-01-11,24.745001,24.875000,24.582500,24.777500,23.101088,19016000
2012-01-12,24.844999,25.420000,24.844999,25.334999,23.620874,16708800
2012-01-13,25.180000,25.447500,25.070000,25.184999,23.481016,16623200
2012-01-17,25.325001,25.735001,25.297501,25.632500,23.898241,17018800
2012-01-18,25.540001,25.969999,25.527500,25.945000,24.189592,11752400
2012-01-19,26.040001,26.049999,25.562500,25.592501,23.860947,14567600
2012-01-20,25.597500,25.629999,24.950001,25.145000,23.443726,20032800
2012-01-23,25.187500,25.222500,24.700001,24.900000,23.215305,16166400
2012-01-24,24.762501,25.317499,24.747499,25.252501,23.543951,12140800
2012-01-25,25.152500,25.242500,24.950001,25.139999,23.439056,15088400
2012-01-26,25.180000,25.537500,24.995001,25.215000,23.508987,13939200
2012-01-27,25.102501,25.382500,24.975000,25.262501,23.553267,11362800
2012-01-30,25.035000,25.129999,24.875000,24.969999,23.280567,12476000
2012-01-31,25.122499,25.195000,24.957500,25.160000,23.457705,13240400
2012-02-01,25.295000,25.674999,25.150000,25.627501,23.893581,15376800
2012-02-02,25.945000,26.780001,25.897499,26.514999,24.721033,33740400
2012-02-03,26.697500,26.955000,26.647499,26.757500,24.947123,16533200
2012-02-06,26.735001,27.067499,26.700001,26.840000,25.024033,13349600
2012-02-07,26.865000,26.887501,26.514999,26.745001,24.935467,13045600
2012-02-08,26.942499,27.160000,26.754999,27.087500,25.254793,22742000
2012-02-09,28.264999,28.725000,28.012501,28.105000,26.203459,39601200
2012-02-10,27.947500,28.500000,27.850000,28.475000,26.548416,21888800
2012-02-13,28.562500,28.792500,28.090000,28.177500,26.271049,22078400
2012-02-14,28.027500,28.812500,28.022499,28.809999,26.860754,17960800
2012-02-15,29.055000,29.287500,28.660000,28.775000,26.879435,21701200
2012-02-16,28.865000,28.932501,28.400000,28.450001,26.575844,15971600
2012-02-17,28.602501,28.812500,28.450001,28.752501,26.858418,15512800
2012-02-21,28.815001,29.000000,28.462500,28.549999,26.669260,10819600
2012-02-22,28.447500,29.187500,28.325001,29.090000,27.173679,14381200
2012-02-23,29.090000,29.200001,28.915001,29.120001,27.201715,10890800
2012-02-24,29.122499,29.442499,28.975000,29.385000,27.449253,11094000
2012-02-27,29.267500,29.325001,29.075001,29.215000,27.290451,15812800
2012-02-28,29.290001,29.742500,29.262501,29.737499,27.778534,11937200
2012-02-29,29.754999,29.840000,29.002501,29.092501,27.176020,15217600
2012-03-01,29.362499,29.497499,29.137501,29.295000,27.365183,11174000
2012-03-02,29.127501,29.242500,28.900000,29.040001,27.126982,12213600
2012-03-05,29.040001,29.207500,28.975000,29.059999,27.145658,10153600
2012-03-06,28.805000,28.875000,28.385000,28.709999,26.818720,13302000
2012-03-07,28.930000,29.025000,28.740000,28.910000,27.005539,10694000
2012-03-08,29.170000,29.545000,29.010000,29.492500,27.549675,9520400
2012-03-09,29.517500,29.597500,29.252501,29.292500,27.362848,8457600
2012-03-12,29.254999,29.387501,29.017500,29.132500,27.213388,7709200
2012-03-13,29.227501,29.352501,28.920000,29.317499,27.386204,12785600
2012-03-14,29.327499,29.472500,29.117500,29.187500,27.264761,14996000
2012-03-15,29.155001,29.367500,29.075001,29.250000,27.323149,13293200
2012-03-16,29.357500,29.375000,29.067499,29.170000,27.248413,16006400
2012-03-19,29.110001,29.930000,29.037500,29.709999,27.752842,15918400
2012-03-20,29.537500,29.650000,29.000000,29.129999,27.211052,10588000
2012-03-21,29.272499,29.412500,29.145000,29.187500,27.264761,8427200
2012-03-22,29.037500,29.375000,29.000000,29.320000,27.388535,9368000
2012-03-23,29.377501,29.750000,29.225000,29.695000,27.738838,10151200
2012-03-26,29.840000,30.174999,29.312500,30.014999,28.037746,16363600
2012-03-27,29.995001,30.070000,29.887501,29.952499,27.979362,10662000
2012-03-28,29.920000,30.075001,29.627501,29.837500,27.871944,8992000
2012-03-29,29.635000,29.795000,29.387501,29.750000,27.790207,8691200
2012-03-30,29.772499,29.799999,29.400000,29.500000,27.556679,12002000
2012-04-02,29.500000,29.975000,29.275000,29.745001,27.785542,11777600
2012-04-03,29.709999,30.147499,29.592501,30.090000,28.107807,15691600
2012-04-04,29.872499,29.920000,29.549999,29.745001,27.785542,10308800
2012-04-05,29.580000,30.287500,29.517500,30.252501,28.259602,13395600
2012-04-09,29.915001,30.087500,29.677500,29.875000,27.906975,13295600
2012-04-10,29.870001,29.942499,29.147499,29.184999,27.262424,10679200
2012-04-11,29.504999,29.737499,29.242500,29.344999,27.411888,14171200
2012-04-12,29.367500,30.290001,29.297501,30.254999,28.261940,17164000
2012-04-13,30.100000,30.920000,30.077499,30.790001,28.761698,21497200
2012-04-16,30.760000,30.762501,30.010000,30.207500,28.217575,18308400
2012-04-17,30.407499,30.625000,30.312500,30.520000,28.509480,10328800
2012-04-18,30.402500,30.620001,30.330000,30.445000,28.439425,8480000
2012-04-19,30.317499,30.565001,30.127501,30.297501,28.301641,8522400
2012-04-20,30.455000,30.537500,30.145000,30.252501,28.259602,7841200
2012-04-23,30.062500,30.202499,29.120001,29.525000,27.580030,17347200
2012-04-24,29.587500,29.809999,29.372499,29.732500,27.773861,9430800
2012-04-25,29.934999,30.600000,29.889999,30.447500,28.441763,12150800
2012-04-26,30.472500,30.875000,30.377501,30.797501,28.768707,11107600
2012-04-27,30.934999,31.052500,30.715000,30.879999,28.845764,9787200
2012-04-30,31.027500,31.037500,30.577499,30.745001,28.719658,9375200
2012-05-01,30.867500,31.337500,30.760000,30.772499,28.745356,17178000
2012-05-02,30.402500,30.797501,30.167500,30.547501,28.535175,25366800
2012-05-03,30.502501,30.627501,28.844999,29.102501,27.185364,47838000
2012-05-04,29.055000,29.722500,28.827499,29.447500,27.507637,23403600
2012-05-07,29.240000,29.772499,29.240000,29.627501,27.675781,13476800
2012-05-08,29.525000,29.770000,29.037500,29.535000,27.589371,14596800
2012-05-09,29.327499,29.745001,29.142500,29.355000,27.421228,17672800
2012-05-10,29.575001,29.872499,29.410000,29.542500,27.596375,13468000
2012-05-11,29.340000,29.742500,29.315001,29.480000,27.537998,8139600
2012-05-14,29.207500,29.590000,28.957500,29.180000,27.257759,16246400
2012-05-15,29.112499,29.475000,29.112499,29.152500,27.232073,12589200
2012-05-16,29.200001,29.549999,29.075001,29.382500,27.498796,17339600
2012-05-17,29.250000,29.565001,28.752501,28.752501,26.909185,17814800
2012-05-18,28.712500,28.812500,28.125000,28.160000,26.354675,25934800
2012-05-21,28.317499,29.080000,28.165001,29.055000,27.192297,13272000
2012-05-22,29.102501,29.812500,29.102501,29.597500,27.700014,18594400
2012-05-23,29.405001,29.865000,29.347500,29.792500,27.882519,16558000
2012-05-24,29.930000,30.250000,29.692499,29.942499,28.022890,12749600
2012-05-25,29.847500,30.100000,29.737499,29.842501,27.929306,11780000
2012-05-29,30.037500,30.237499,29.750000,30.070000,28.142216,18006400
2012-05-30,29.677500,29.934999,29.365000,29.372499,27.489441,18346400
2012-05-31,29.437500,29.590000,28.680000,28.799999,26.953640,21004000
2012-06-01,28.410000,28.722500,27.985001,28.062500,26.263422,18650400
2012-06-04,28.007500,28.610001,28.004999,28.540001,26.710310,16646400
2012-06-05,28.440001,28.632500,28.285000,28.452499,26.628422,11374800
2012-06-06,28.742500,29.125000,28.707500,29.084999,27.220369,12384000
2012-06-07,29.457500,29.500000,29.137501,29.202499,27.330336,9158000
2012-06-08,29.097500,29.150000,28.862499,29.145000,27.276524,10376800
2012-06-11,29.317499,29.482500,29.055000,29.087500,27.222713,10942800
2012-06-12,29.102501,29.290001,28.930000,29.290001,27.412231,10398800
2012-06-13,28.950001,29.242500,28.662500,28.725000,26.883453,14891200
2012-06-14,28.815001,29.252501,28.565001,29.122499,27.255468,13152800
2012-06-15,29.342501,29.625000,29.232500,29.600000,27.702360,12551600
2012-06-18,29.502501,30.120001,29.365000,30.025000,28.100107,10931600
2012-06-19,30.215000,30.400000,30.125000,30.337500,28.392572,10270400
2012-06-20,30.275000,30.647499,30.257500,30.647499,28.682695,12702800
2012-06-21,30.645000,30.717501,29.827499,29.870001,27.955044,13061200
2012-06-22,30.062500,31.237499,29.832500,31.237499,29.234873,37216000
2012-06-25,30.715000,30.822500,30.287500,30.317499,28.373850,16164000
2012-06-26,30.440001,30.980000,30.417500,30.790001,28.816063,13128800
2012-06-27,30.840000,31.030001,30.632500,30.860001,28.881573,13768400
2012-06-28,30.750000,30.852501,29.892500,30.379999,28.432348,11514800
2012-06-29,30.815001,31.010000,30.382500,30.907499,28.926029,15931200
2012-07-02,31.065001,31.700001,31.000000,31.655001,29.625610,17042400
2012-07-03,31.622499,31.750000,31.415001,31.584999,29.560097,6364400
2012-07-05,31.434999,31.867500,31.417500,31.752501,29.716858,11298000
2012-07-06,31.520000,31.682501,31.195000,31.320000,29.312088,9631200
2012-07-09,30.787500,31.012501,30.260000,30.912500,28.930712,17684000
2012-07-10,31.082500,31.187500,30.452499,30.570000,28.610165,18204000
2012-07-11,30.477501,30.562500,29.895000,30.184999,28.249847,11644000
2012-07-12,29.777500,30.857500,29.775000,30.660000,28.694391,15067600
2012-07-13,30.625000,31.160000,30.537500,31.022499,29.033657,12112800
2012-07-16,32.049999,32.750000,31.467501,31.787500,29.749611,30607600
2012-07-17,32.032501,32.060001,31.510000,32.057499,30.002308,10766800
2012-07-18,31.875000,32.200001,31.850000,31.955000,29.906376,11903600
2012-07-19,32.075001,32.157501,31.332500,31.347500,29.337822,13832400
2012-07-20,31.152500,31.545000,30.912500,31.437500,29.422050,11816800
2012-07-23,31.012501,31.264999,30.812500,31.117500,29.122566,11391200
2012-07-24,31.125000,31.190001,30.320000,30.662500,28.696735,13504000
2012-07-25,30.844999,31.022499,30.385000,30.549999,28.591448,15305200
2012-07-26,31.242500,32.047501,31.049999,31.692499,29.660704,21036000
2012-07-27,31.732500,32.375000,31.424999,32.285000,30.215221,13937600
2012-07-30,32.212502,33.087502,32.177502,32.709999,30.612972,12652800
2012-07-31,32.607498,32.669998,32.125000,32.267502,30.198845,8961600
2012-08-01,32.125000,32.352501,31.750000,31.865000,29.822144,11612000
2012-08-02,31.700001,32.322498,31.547501,32.317501,30.245638,11112400
2012-08-03,32.590000,32.884998,32.215000,32.744999,30.645725,12934400
2012-08-06,32.750000,33.145000,32.654999,32.757500,30.657425,9227600
2012-08-07,32.707500,32.857498,32.334999,32.599998,30.510025,13179200
2012-08-08,32.695000,32.880001,32.599998,32.787498,30.685505,7962800
2012-08-09,32.720001,32.742500,31.937500,32.127499,30.067814,14203600
2012-08-10,32.047501,32.322498,32.000000,32.272499,30.203520,5984800
2012-08-13,32.160000,32.250000,31.850000,32.080002,30.023361,6454000
2012-08-14,32.279999,32.544998,32.134998,32.472500,30.390696,8732400
2012-08-15,32.294998,32.575001,32.147499,32.264999,30.247734,7735600
2012-08-16,32.174999,32.487499,32.174999,32.419998,30.393038,9121200
2012-08-17,32.497501,32.509998,32.072498,32.172501,30.161015,9582400
2012-08-20,32.152500,32.180000,32.000000,32.040001,30.036802,8674400
2012-08-21,32.177502,32.312500,31.750000,31.879999,29.886806,7605200
2012-08-22,31.717501,32.125000,31.629999,32.025002,30.022745,8866000
2012-08-23,31.982500,32.125000,31.687500,31.787500,29.800085,7000000
2012-08-24,31.647499,31.754999,31.452499,31.665001,29.685246,10650800
2012-08-27,31.822500,32.035000,31.760000,31.915001,29.919607,8820400
2012-08-28,31.965000,32.060001,31.805000,31.850000,29.858679,7862800
2012-08-29,31.887501,32.012501,31.680000,32.005001,30.003990,8583600
2012-08-30,31.775000,31.775000,31.545000,31.674999,29.694622,8573600
2012-08-31,31.877501,32.092499,31.565001,32.062500,30.057890,13784000
2012-09-04,32.090000,32.287498,31.905001,32.130001,30.121168,10200800
